,index,Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude,Response Time,Group Type
83,2554,Law Enforcement-Suspicious Package,Doscher Street & Sutter Avenue,Brooklyn,2012-04-07 22:01:46,04/07/2012 11:15:33 PM,40.6727546786,-73.8720412335,73.78333333333333,Law
84,2555,Law Enforcement-Suspicious Package,W 46th St & Broadway,Manhattan,2012-04-08 16:10:40,04/08/2012 04:14:15 PM,40.7586947331,-73.985337683,3.5833333333333335,Law
85,6598,Law Enforcement-Suspicious Package,W 43 ST & 10 AV,Manhattan,2012-04-10 10:29:42,04/10/2012 10:50:41 AM,40.7603012321,-73.9949824933,20.983333333333334,Law
86,6568,Law Enforcement-Suspicious Package,,Manhattan,2012-04-12 11:23:43,04/12/2012 12:28:57 PM,,,65.23333333333333,Law
87,2571,Law Enforcement-Suspicious Package,West 23 Street & 5 Avenue,Manhattan,2012-04-17 19:11:47,04/17/2012 07:23:22 PM,40.741548756,-73.9895744627,11.583333333333334,Law
88,2577,Law Enforcement-Suspicious Package,48-35 35th Street,Queens,2012-04-19 16:49:47,04/19/2012 05:22:16 PM,40.740164219,-73.9306710691,32.483333333333334,Law
89,2588,Law Enforcement-Bomb Threat,333 East 151st Street,Bronx,2012-04-20 11:37:45,04/20/2012 12:35:12 PM,40.818250528600004,-73.9199679074,57.45,Law
90,2593,Law Enforcement-Device,35-19 167th Street,Queens,2012-04-28 18:36:12,04/28/2012 07:32:03 PM,40.7644484483,-73.7986986382,55.85,Law
91,6578,Law Enforcement-Haz Mat,180 Madison Ave,Manhattan,2012-04-30 14:34:10,04/30/2012 06:19:23 PM,40.7475123371,-73.9831530755,225.21666666666667,Law
92,2599,Law Enforcement-Haz Mat,45 Broadway,Manhattan,2012-04-30 15:12:47,04/30/2012 05:43:22 PM,40.7063964023,-74.0128293808,150.58333333333334,Law
93,2597,Law Enforcement-Haz Mat,530 5th Ave,Manhattan,2012-04-30 15:51:33,04/30/2012 04:55:50 PM,40.7548787131,-73.9798774656,64.28333333333335,Law
94,2600,Law Enforcement-Haz Mat,100 Gold Street,Manhattan,2012-04-30 16:00:01,04/30/2012 07:44:46 PM,40.7104291079,-74.0039172197,224.75,Law
95,2601,Law Enforcement-Haz Mat,270 Park Ave,Manhattan,2012-04-30 18:33:57,04/30/2012 08:05:09 PM,40.7556408208,-73.9751091326,91.2,Law
96,6557,Law Enforcement-Suspicious Package,399 Park Avenue,Manhattan,2012-05-01 12:53:39,05/01/2012 02:32:52 PM,40.7595404487,-73.9722452023,99.21666666666667,Law
97,2620,Law Enforcement-Suspicious Package,160 Beach 29th Street,Queens,2012-05-07 15:50:31,05/07/2012 04:04:03 PM,40.5936276854,-73.761704923,13.533333333333333,Law
98,2643,Law Enforcement-Suspicious Package,East 84th Street & Madison Avenue,Manhattan,2012-05-14 15:09:10,05/14/2012 04:05:19 PM,40.7795404344,-73.9597725215,56.15,Law
99,2644,Law Enforcement-Suspicious Package,West St & Albany St,Manhattan,2012-05-15 16:53:14,05/15/2012 05:37:55 PM,40.709824372199996,-74.0148247025,44.68333333333333,Law
100,6485,Law Enforcement-Suspicious Package,203 Bedford st,Brooklyn,2012-05-18 11:29:48,05/18/2012 12:24:03 PM,,,54.25,Law
101,2650,Law Enforcement-Suspicious Package,Lafayette Avenue & White Plains Road,Bronx,2012-05-19 12:48:32,05/19/2012 05:55:35 PM,40.8220118412,-73.8582630303,307.05,Law
102,2672,Law Enforcement-Suspicious Package,174 Scholes St,Brooklyn,2012-05-30 14:20:37,05/31/2012 12:59:06 AM,40.7088694861,-73.9424477908,638.4833333333333,Law
103,2693,Law Enforcement-Suspicious Package,200 Monroe Street,Manhattan,2012-06-05 09:23:01,06/05/2012 11:10:52 AM,40.7123988699,-73.9844965858,107.85,Law
104,2708,Law Enforcement-Suspicious Package,W 32 St & 7 th Ave,Manhattan,2012-06-17 12:23:21,06/17/2012 01:09:07 PM,,,45.766666666666666,Law
105,2712,Law Enforcement-Suspicious Package,265 East 161 St,Bronx,2012-06-19 19:07:36,06/19/2012 09:17:01 PM,40.825671376399995,-73.9187232454,129.41666666666669,Law
106,2725,Law Enforcement-Suspicious Package,Pearl Street & Prospect Street,Brooklyn,2012-07-01 12:51:55,07/01/2012 01:19:38 PM,40.7006626502,-73.98774154770001,27.716666666666665,Law
107,2727,Law Enforcement-Suspicious Package,Broadway & Vesey St,Manhattan,2012-07-04 10:17:48,07/04/2012 10:46:22 AM,40.711392265,-74.0085992511,28.566666666666666,Law
108,2731,Law Enforcement-Suspicious Package,Lefferts Blvd & 101Ave,Queens,2012-07-05 18:38:46,07/05/2012 07:45:14 PM,40.6899534136,-73.8259931594,66.46666666666667,Law
109,6621,Law Enforcement-White Powder,51 St & 12 Ave,Brooklyn,2012-07-06 16:48:51,07/06/2012 05:44:11 PM,40.6352332194,-73.9954855014,55.333333333333336,Law
110,2737,Law Enforcement-Suspicious Package,Jay Street & Willoughby Street,Brooklyn,2012-07-12 10:34:53,07/12/2012 11:17:52 AM,40.692233421,-73.9872995555,42.983333333333334,Law
111,6721,Law Enforcement-Suspicious Package,W 53 St & 7 Ave,Manhattan,2012-07-12 17:09:31,07/12/2012 06:54:18 PM,40.7629678087,-73.9818929343,104.78333333333333,Law
112,6640,Law Enforcement-Suspicious Package,West 42 St & 7 Ave,Manhattan,2012-07-15 15:20:03,07/15/2012 03:54:08 PM,40.756035269099996,-73.9869480991,34.083333333333336,Law
113,2753,Law Enforcement-Suspicious Package,Burgher Avenue & North Railroad Avenue,Staten Island,2012-07-17 20:16:53,07/17/2012 09:15:59 PM,40.592419209,-74.0915787388,59.1,Law
114,2761,Law Enforcement-Suspicious Package,West 28th Street & Broadway,Manhattan,2012-07-25 22:32:09,07/25/2012 10:47:34 PM,40.745287026199996,-73.9887293942,15.416666666666668,Law
115,2784,Law Enforcement-Suspicious Package,,Manhattan,2012-08-01 13:02:49,08/01/2012 01:43:18 PM,,,40.483333333333334,Law
116,6622,Law Enforcement-Suspicious Package,,Queens,2012-08-02 23:00:26,08/02/2012 11:54:24 PM,,,53.96666666666667,Law
117,2790,Law Enforcement-Device,120-17 178th Place,Queens,2012-08-07 01:38:48,08/07/2012 02:50:18 AM,40.6848467259,-73.7649737767,71.5,Law
118,2819,Law Enforcement-Device,Ocean Parkway & Kings Highway,Brooklyn,2012-08-14 09:56:27,08/14/2012 10:43:47 AM,40.6056753874,-73.9669611531,47.333333333333336,Law
119,2841,Law Enforcement-Device,305 Jerome Street,Brooklyn,2012-08-18 17:12:13,08/18/2012 05:48:10 PM,40.674249753000005,-73.88697414100001,35.95,Law
120,2842,Law Enforcement-Suspicious Package,215 East 161 Street,Bronx,2012-08-20 08:57:43,08/20/2012 09:36:20 AM,40.826235302,-73.92052920430001,38.61666666666667,Law
121,2844,Law Enforcement-Suspicious Package,83-16 Charlecote Ridge,Queens,2012-08-21 00:28:27,08/21/2012 01:16:36 AM,40.7183747766,-73.7909086071,48.15,Law
122,2845,Law Enforcement-Suspicious Package,5 Avenue  & East 65 Street,Manhattan,2012-08-21 09:36:36,08/21/2012 09:55:03 AM,40.7680239574,-73.9702813631,18.45,Law
123,2848,Law Enforcement-Suspicious Package,E. 163rd Street & Southern Boulevard,Bronx,2012-08-22 08:29:41,08/22/2012 09:18:06 AM,40.8209858054,-73.8916133211,48.416666666666664,Law
124,2875,Law Enforcement-Suspicious Package,Sutphin Blvd & Archer Ave,Queens,2012-08-28 10:33:41,08/28/2012 11:13:13 AM,40.7005823289,-73.8077418159,39.53333333333333,Law
125,2890,Law Enforcement-Suspicious Package,884 Home St.,Bronx,2012-09-02 15:30:44,09/02/2012 04:23:32 PM,40.8281591357,-73.896096707,52.8,Law
126,2893,Law Enforcement-Suspicious Package,42-12 Ithaca Street,Queens,2012-09-05 02:33:48,09/05/2012 03:16:00 AM,40.7441886378,-73.8784216144,42.2,Law
127,2896,Law Enforcement-Device,Queens Boulevard & Hoover Ave,Queens,2012-09-05 10:15:15,09/05/2012 10:37:34 AM,40.712001348600005,-73.825455857,22.316666666666666,Law
128,2900,Law Enforcement-Haz Mat,65 Washington St,Brooklyn,2012-09-05 19:25:50,09/05/2012 09:43:09 PM,40.7023069503,-73.9896274851,137.31666666666666,Law
129,2902,Law Enforcement-Device,104-54 89th Avenue,Queens,2012-09-06 12:14:14,09/06/2012 12:53:38 PM,40.693960904099995,-73.84126548729999,39.4,Law
130,2904,Law Enforcement-Haz Mat,West 207 St & Broadway,Manhattan,2012-09-06 18:36:39,09/06/2012 07:02:05 PM,40.8676918204,-73.9212136168,25.433333333333334,Law
131,2914,Law Enforcement-Suspicious Package,250 Broadway,Manhattan,2012-09-12 13:00:07,09/12/2012 02:16:59 PM,40.7129815719,-74.0073008805,76.86666666666666,Law
132,2927,Law Enforcement-Suspicious Package,93-20 170 Street,Queens,2012-09-15 11:26:01,09/15/2012 12:00:46 PM,40.7050558243,-73.7886781393,34.75,Law
133,2929,Law Enforcement-Suspicious Package,1 Fordham Plaza,Bronx,2012-09-18 11:25:36,09/18/2012 12:17:05 PM,40.8609939922,-73.8900731224,51.483333333333334,Law
134,2933,Law Enforcement-Device,1361 Rockaway Parkway,Brooklyn,2012-09-20 11:37:44,09/20/2012 12:16:56 PM,40.6464686428,-73.9037885718,39.2,Law
135,6585,Law Enforcement-Suspicious Package,455 Madison Ave.,Manhattan,2012-09-23 16:01:19,09/23/2012 05:33:42 PM,40.7581138972,-73.9753933667,92.38333333333334,Law
136,2935,Law Enforcement-Suspicious Package,2750 Throop Avenue,Bronx,2012-09-27 09:44:55,09/27/2012 10:34:33 AM,40.8660799727,-73.8509815624,49.63333333333333,Law
137,2951,Law Enforcement-White Powder,955 Bronx River Avenue,Bronx,2012-10-11 15:27:49,10/11/2012 04:23:02 PM,,,55.21666666666667,Law
138,2958,Law Enforcement-Suspicious Package,503 Mosely Avenue,Staten Island,2012-10-17 16:07:35,10/17/2012 06:11:22 PM,40.5436881722,-74.1650338971,123.78333333333335,Law
139,2961,Law Enforcement-Suspicious Package,74 Street  & Broadway,Queens,2012-10-18 01:20:05,10/18/2012 02:12:58 AM,40.7466416827,-73.89139142100001,52.88333333333333,Law
140,6603,Law Enforcement-Suspicious Package,1755 Broadway,Manhattan,2012-10-18 11:36:27,10/18/2012 12:09:01 PM,40.765742752399994,-73.9819535501,32.56666666666667,Law
141,2963,Law Enforcement-Suspicious Package,5602 U Avenue,Brooklyn,2012-10-19 23:47:57,10/20/2012 01:02:33 AM,40.6122197771,-73.9188390613,74.6,Law
142,2980,Law Enforcement-Suspicious Vehicle,Trinity Place & Rector Street,Manhattan,2012-10-20 13:50:17,10/20/2012 02:34:58 PM,40.707771514,-74.0129630997,44.68333333333333,Law
143,6574,Law Enforcement-Suspicious Package,42 Street & 7th Avenue,Manhattan,2012-10-21 21:55:33,10/21/2012 10:49:39 PM,40.756035269099996,-73.9869480991,54.1,Law
144,2987,Law Enforcement-Suspicious Package,Water Street & Wall Street,Manhattan,2012-10-23 16:23:59,10/23/2012 04:23:59 PM,40.705183694,-74.0073938015,0.0,Law
