,Incident Type,Response Time,minute
3094,Fire+AC0-3rd Alarm,375,60
3105,Fire+AC0-2nd Alarm,1213,60
3096,Fire+AC0-10+AC0-76 (Commercial High Rise),109,60
3110,Fire+AC0-3rd Alarm,961,60
6795,Fire+AC0-School,88,60
3145,Fire+AC0-Sanitation Garage,31,60
6684,Fire+AC0-2nd Alarm,136,60
6796,Fire+AC0-2nd Alarm,267,60
3148,Fire+AC0-2nd Alarm,119,60
3163,Fire+AC0-4th Alarm,1527,60
3165,Fire+AC0-4th Alarm,525,60
3174,Fire+AC0-2nd Alarm,4931,60
3173,Fire+AC0-2nd Alarm,244,60
3175,Fire+AC0-Sensitive Location,51,60
6868,Fire+AC0-2nd Alarm,67,60
6637,Fire+AC0-Manhole,129,60
3195,Fire+AC0-3rd Alarm,3095,60
6668,Fire+AC0-2nd Alarm,235,60
6806,Fire+AC0-3rd Alarm,4931,60
3208,Fire+AC0-5th Alarm,3969,60
6696,Fire+AC0-2nd Alarm,98,60
6737,Fire+AC0-4th Alarm,530,60
6697,Fire+AC0-School,113,60
3225,Fire+AC0-4th Alarm,433,60
3228,Fire+AC0-4th Alarm,1286,60
3229,Fire+AC0-3rd Alarm,421,60
3232,Fire+AC0-1st Alarm,43,60
3233,Fire+AC0-3rd Alarm,232,60
6832,Fire+AC0-2nd Alarm,152,60
3234,Fire+AC0-4th Alarm,901,60
6843,Fire+AC0-1st Alarm,47,60
3265,Fire+AC0-Smoke Condition,56,60
3267,Fire+AC0-Manhole,136,60
3269,Fire+AC0-Manhole,178,60
3268,Fire+AC0-Manhole,90,60
3271,Fire+AC0-School,371,60
6662,Fire+AC0-4th Alarm,1643,60
3273,Fire+AC0-4th Alarm,962,60
3279,Fire+AC0-2nd Alarm,215,60
6871,Fire+AC0-1st Alarm,195,60
3286,Fire+AC0-2nd Alarm,441,60
6807,Fire+AC0-2nd Alarm,146,60
3294,Fire+AC0-2nd Alarm,246,60
6751,Fire+AC0-3rd Alarm,3013,60
6808,Fire+AC0-10+AC0-77 (Residential High Rise),48,60
6752,Fire+AC0-1st Alarm,329,60
3305,Fire+AC0-10+AC0-77 (Residential High Rise),72,60
6675,Fire+AC0-4th Alarm,374,60
6856,Fire+AC0-3rd Alarm,4931,60
3334,Fire+AC0-1st Alarm,331,60
6709,Fire+AC0-1st Alarm,58,60
6760,Fire+AC0-2nd Alarm,258,60
3358,Fire+AC0-3rd Alarm,557,60
6912,Fire+AC0-Truck Fire,124,60
6702,Fire+AC0-3rd Alarm,194,60
3361,Fire+AC0-3rd Alarm,300,60
3391,Fire+AC0-10+AC0-76 (Commercial High Rise),178,60
3395,Fire+AC0-1st Alarm,73,60
3402,Fire+AC0-10+AC0-77 (Residential High Rise),92,60
6781,Fire+AC0-Brush,40,60
6670,Fire+AC0-3rd Alarm,196,60
3450,Fire+AC0-5th Alarm,4931,60
3439,Fire+AC0-1st Alarm,1106,60
6809,Fire+AC0-1st Alarm,102,60
3440,Fire+AC0-1st Alarm,111,60
3447,Fire+AC0-Haz Mat,176,60
3452,Fire+AC0-10+AC0-77 (Residential High Rise),997,60
6761,Fire+AC0-School,742,60
3470,Fire+AC0-1st Alarm,89,60
3479,Fire+AC0-1st Alarm,469,60
3478,Fire+AC0-10+AC0-76 (Commercial High Rise),92,60
3503,Fire+AC0-Con Ed Feeder Cables on Fire,4855,60
6762,Fire+AC0-2nd Alarm,1743,60
3509,Fire+AC0-Sensitive Location,179,60
6905,Fire+AC0-Haz Mat,153,60
6764,Fire+AC0-3rd Alarm,4931,60
3512,Fire+AC0-Manhole,205,60
6946,Fire+AC0-2nd Alarm,4931,60
3514,Fire+AC0-School,75,60
6765,Fire+AC0-Manhole,1477,60
6897,Fire+AC0-10+AC0-76 (Commercial High Rise),1980,60
6916,Fire+AC0-Collapse,1372,60
3540,Fire+AC0-Sensitive Location,508,60
3544,Fire+AC0-1st Alarm,166,60
6821,Fire+AC0-1st Alarm,79,60
3561,Fire+AC0-Manhole,143,60
3590,Fire+AC0-10+AC0-76 (Commercial High Rise),72,60
6766,Fire+AC0-3rd Alarm,217,60
6876,Fire+AC0-Metro North Train on Fire,91,60
6725,Fire+AC0-10+AC0-77 (Residential High Rise),59,60
6767,Fire+AC0-3rd Alarm,532,60
3613,Fire+AC0-3rd Alarm,1318,60
6775,Fire+AC0-Collapse,4931,60
6987,Fire+AC0-Commercial,128,60
3658,Fire+AC0-Manhole,4931,60
6885,Fire+AC0-1st Alarm,204,60
6976,Fire+AC0-Electrical,444,60
6887,Fire+AC0-2nd Alarm,225,60
6783,Fire+AC0-Turbine,96,60
3638,Fire+AC0-5th Alarm,891,60
6800,Fire+AC0-Manhole,155,60
3659,Fire+AC0-3rd Alarm,4931,60
3643,Fire+AC0-1st Alarm,823,60
6966,Fire+AC0-5th Alarm,4931,60
3662,Fire+AC0-2nd Alarm,3162,60
6936,Fire+AC0-Manhole,897,60
3664,Fire+AC0-Sensitive Location,42,60
6888,Fire+AC0-Fire in a Hotel,47,60
3713,Fire+AC0-10+AC0-76 (Commercial High Rise),76,60
6776,Fire+AC0-3rd Alarm,129,60
3715,Fire+AC0-3rd Alarm,143,60
6957,Fire+AC0-Vehicle Fire,1971,60
6889,Fire+AC0-Sensitive Location,78,60
3734,Fire+AC0-10+AC0-76 (Commercial High Rise),299,60
4057,Fire+AC0-1st Alarm,4931,60
6919,Fire+AC0-2nd Alarm,1676,60
3735,Fire+AC0-10+AC0-77 (Residential High Rise),46,60
3773,Fire+AC0-1st Alarm,1341,60
6891,Fire+AC0-2nd Alarm,409,60
7043,Fire+AC0-1st Alarm,4931,60
3775,Fire+AC0-10+AC0-77 (Residential High Rise),96,60
3779,Fire+AC0-10+AC0-76 (Commercial High Rise),91,60
3782,Fire+AC0-1st Alarm,371,60
6949,Fire+AC0-3rd Alarm,4931,60
6893,Fire+AC0-School,6,60
6977,Fire+AC0-5th Alarm,494,60
3793,Fire+AC0-10+AC0-76 (Commercial High Rise),60,60
4040,Fire+AC0-2nd Alarm,4931,60
6979,Fire+AC0-Overhead wires,4931,60
3827,Fire+AC0-Sensitive Location,96,60
3832,Fire+AC0-Sensitive Location,260,60
6923,Fire+AC0-2nd Alarm,156,60
3833,Fire+AC0-High Angle Rescue,0,60
3834,Fire+AC0-10+AC0-76 (Commercial High Rise),143,60
3902,Fire+AC0-Explosion,4931,60
6999,Fire+AC0-2nd Alarm,50,60
6828,Fire+AC0-1st Alarm,195,60
3853,Fire+AC0-3rd Alarm,505,60
3860,Fire+AC0-2nd Alarm,1388,60
6838,Fire+AC0-2nd Alarm,123,60
6969,Fire+AC0-4th Alarm,4931,60
3861,Fire+AC0-1st Alarm,68,60
3877,Fire+AC0-10+AC0-76 (Commercial High Rise),84,60
3878,Fire+AC0-2nd Alarm,109,60
3931,Fire+AC0-3rd Alarm,4931,60
3888,Fire+AC0-1st Alarm,1039,60
7012,Fire+AC0-2nd Alarm,120,60
3889,Fire+AC0-3rd Alarm,281,60
6951,Fire+AC0-4th Alarm,2441,60
3906,Fire+AC0-School,76,60
7014,Fire+AC0-1st Alarm,4931,60
3910,Fire+AC0-School,40,60
3917,Fire+AC0-4th Alarm,1459,60
3930,Fire+AC0-Brush Fire 2nd Alarm,253,60
3929,Fire+AC0-10+AC0-76 (Commercial High Rise),39,60
3933,Fire+AC0-4th Alarm,1242,60
3934,Fire+AC0-10+AC0-77 (Residential High Rise),18,60
3935,Fire+AC0-1st Alarm,35,60
3936,Fire+AC0-10+AC0-77 (Residential High Rise),80,60
6930,Fire+AC0-3rd Alarm,584,60
6931,Fire+AC0-2nd Alarm,905,60
3985,Fire+AC0-2nd Alarm,4931,60
3958,Fire+AC0-10+AC0-77 (Residential High Rise),1206,60
3957,Fire+AC0-2nd Alarm,299,60
3963,Fire+AC0-1st Alarm,649,60
3964,Fire+AC0-1st Alarm,69,60
6970,Fire+AC0-10+AC0-76 (Commercial High Rise),55,60
6910,Fire+AC0-2nd Alarm,125,60
3989,Fire+AC0-10+AC0-76 (Commercial High Rise),73,60
4014,Fire+AC0-1st Alarm,173,60
4125,Fire+AC0-5th Alarm,4931,60
4016,Fire+AC0-1st Alarm,615,60
4031,Fire+AC0-Explosion,85,60
4061,Fire+AC0-2nd Alarm,329,60
7015,Fire+AC0-2nd Alarm,37,60
6972,Fire+AC0-Manhole,504,60
4069,Fire+AC0-Sensitive Location,74,60
6941,Fire+AC0-10+AC0-77 (Residential High Rise),49,60
6995,Fire+AC0-Manhole,43,60
4121,Fire+AC0-10+AC0-77 (Residential High Rise),76,60
4124,Fire+AC0-Sensitive Location,726,60
4137,Fire+AC0-1st Alarm,4931,60
4127,Fire+AC0-1st Alarm,30,60
4128,Fire+AC0-10+AC0-77 (Residential High Rise),55,60
4129,Fire+AC0-1st Alarm,43,60
6962,Fire+AC0-Funeral Home,253,60
6981,Fire+AC0-Transformer Inside Of Substation,129,60
7058,Fire+AC0-Explosion,104,60
4150,Fire+AC0-Manhole,44,60
4155,Fire+AC0-Hospital,84,60
4175,Fire+AC0-3rd Alarm,2596,60
4160,Fire+AC0-10+AC0-76 (Commercial High Rise),67,60
7008,Fire+AC0-1st Alarm,2879,60
7025,Fire+AC0-5th Alarm,4576,60
7073,Fire+AC0-1st Alarm,99,60
4182,Fire+AC0-3rd Alarm,1582,60
7026,Fire+AC0-Manhole,3412,60
4185,Fire+AC0-Transformer,815,60
4183,Fire+AC0-1st Alarm,111,60
4204,Fire+AC0-Building Evacuation,67,60
7124,Fire+AC0-3rd Alarm,2654,60
7010,Fire+AC0-10+AC0-77 (Residential High Rise),79,60
4233,Fire+AC0-6th Alarm,4931,60
6974,Fire+AC0-2nd Alarm,4931,60
7109,Fire+AC0-1st Alarm,61,60
4213,Fire+AC0-2nd Alarm,84,60
7102,Fire+AC0-Vehicle Fire on the RFK Bridge,176,60
4229,Fire+AC0-2nd Alarm,112,60
7104,Fire+AC0-3rd Alarm,1810,60
4322,Fire+AC0-2nd Alarm,4931,60
4235,Fire+AC0-2nd Alarm,1861,60
6997,Fire+AC0-Sensitive Location,30,60
7075,Fire+AC0-Sensitive Location,323,60
4273,Fire+AC0-2nd Alarm,507,60
7003,Fire+AC0-Hospital,55,60
4274,Fire+AC0-Sensitive Location,140,60
7018,Fire+AC0-1st Alarm,121,60
7019,Fire+AC0-Manhole,353,60
4279,Fire+AC0-10+AC0-76 (Commercial High Rise),82,60
7034,Fire+AC0-arcing in electric panel,84,60
7088,Fire+AC0-1st Alarm,120,60
7036,Fire+AC0-1st Alarm,69,60
7089,Fire+AC0-10+AC0-76 (Commercial High Rise),15,60
4302,Fire+AC0-10+AC0-77 (Residential High Rise),195,60
7062,Fire+AC0-4th Alarm,1794,60
7037,Fire+AC0-Manhole,92,60
4320,Fire+AC0-2nd Alarm,184,60
7048,Fire+AC0-3rd Alarm,1339,60
4323,Fire+AC0-Manhole,377,60
7138,Fire+AC0-3rd Alarm,328,60
4397,Fire+AC0-3rd Alarm,4931,60
4333,Fire+AC0-10+AC0-77 (Residential High Rise),41,60
7063,Fire+AC0-Manhole,150,60
7040,Fire+AC0-1st Alarm,79,60
4342,Fire+AC0-Transformer Fire,181,60
7041,Fire+AC0-3rd Alarm,239,60
4395,Fire+AC0-3rd Alarm,735,60
4398,Fire+AC0-Manhole,365,60
4400,Fire+AC0-3rd Alarm,1780,60
4402,Fire+AC0-2nd Alarm,905,60
7171,Fire+AC0-Collapse,195,60
4412,Fire+AC0-2nd Alarm,195,60
4413,Fire+AC0-2nd Alarm,168,60
4453,Fire+AC0-4th Alarm,4931,60
7051,Fire+AC0-3rd Alarm,455,60
7077,Fire+AC0-4th Alarm,303,60
4450,Fire+AC0-Sensitive Location,3231,60
4451,Fire+AC0-3rd Alarm,1566,60
7139,Fire+AC0-3rd Alarm,378,60
7052,Fire+AC0-10+AC0-76 (Commercial High Rise),65,60
7030,Fire+AC0-3rd Alarm,201,60
4457,Fire+AC0-1st Alarm,263,60
4459,Fire+AC0-2nd Alarm,106,60
7208,Fire+AC0-10+AC0-77 (Residential High Rise),164,60
7081,Fire+AC0-4th Alarm,317,60
4517,Fire+AC0-3rd Alarm,1790,60
7140,Fire+AC0-1st Alarm,64,60
7127,Fire+AC0-1st Alarm,71,60
7083,Fire+AC0-1st Alarm,83,60
4518,Fire+AC0-Sensitive Location,234,60
4521,Fire+AC0-3rd Alarm,250,60
7056,Fire+AC0-Collapse,246,60
4522,Fire+AC0-Brush,266,60
4524,Fire+AC0-1st Alarm,115,60
4535,Fire+AC0-School,77,60
4541,Fire+AC0-5th Alarm,4175,60
7129,Fire+AC0-Brush,113,60
7114,Fire+AC0-1st Alarm,57,60
4543,Fire+AC0-3rd Alarm,164,60
4545,Fire+AC0-School,80,60
