,Incident Type,Response Time,minute
3482,Structural+AC0-Confined Space,148,60
3485,Structural+AC0-Scaffold,152,60
3496,Structural+AC0-Scaffold,1123,60
3498,Structural+AC0-Sinkhole,113,60
6954,Structural+AC0-Stability Problem,1367,60
3508,Structural+AC0-Crane,21,60
6688,Structural+AC0-Bricks,129,60
3513,Structural+AC0-Street Collapse,2485,60
3538,Structural+AC0-Street Collapse,6234,60
3524,Structural+AC0-Stability Problem,211,60
6813,Structural+AC0-Collapse,6234,60
3531,Structural+AC0-Stability Problem,5760,60
3529,Structural+AC0-Collapse,749,60
3528,Structural+AC0-Vehicle into building,178,60
3536,Structural+AC0-Street Collapse,203,60
6906,Structural+AC0-Stability Problem,5135,60
6834,Structural+AC0-Stability Problem,168,60
3542,Structural+AC0-Cracks,1378,60
3543,Structural+AC0-Scaffold,261,60
6823,Structural+AC0-Collapse,2491,60
3545,Structural+AC0-Street Collapse,152,60
6849,Structural+AC0-Partial Collapse,84,60
6812,Structural+AC0-Stability Problem,6076,60
6724,Structural+AC0-Sidewalk Shed,120,60
6928,Structural+AC0-Partial Collapse,780,60
3611,Structural+AC0-Bricks,76,60
3636,Structural+AC0-Sinkhole,1620,60
3716,Structural+AC0-Sidewalk Collapse,6234,60
6859,Structural+AC0-Truck with Crane Struck Overpass,273,60
3665,Structural+AC0-Construction Accident,103,60
3707,Structural+AC0-Car Into a Building,1094,60
3711,Structural+AC0-Overturned Excavator,367,60
3714,Structural+AC0-Roller Coaster Accident,64,60
6777,Structural+AC0-Partial Collapse,5899,60
3730,Structural+AC0-Stability Problem,202,60
6890,Structural+AC0-Sidewalk Shed,267,60
3736,Structural+AC0-Life Safety Violations,187,60
3738,Structural+AC0-Sidewalk Shed,139,60
6788,Structural+AC0-Street Collapse,2940,60
3872,Structural+AC0-Life Safety Violations,6234,60
3777,Structural+AC0-Partial Collapse,6234,60
7087,Structural+AC0-Collapse,6234,60
3778,Structural+AC0-Car Into House,95,60
6851,Structural+AC0-Scaffold,109,60
3781,Structural+AC0-Life Safety Violations,448,60
6826,Structural+AC0-Street Collapse,111,60
6864,Structural+AC0-Scaffold Collapse,1374,60
3841,Structural+AC0-Crane,6234,60
3803,Structural+AC0-Stability Problem,327,60
6958,Structural+AC0-Collapse,6234,60
6879,Structural+AC0-Collapse,587,60
3830,Structural+AC0-Construction Accident,28,60
