,Incident Type,Response Time,minute
6784,Utility+AC0-Power Outage,1141,60
3655,Utility+AC0-Power Outage,324,60
3656,Utility+AC0-Power Outage,2862,60
3663,Utility+AC0-Power Outage,299,60
6785,Utility+AC0-Electric Overhead,71,60
3666,Utility+AC0-Oil Feeder,495,60
6860,Utility+AC0-Water Main,1014,60
3731,Utility+AC0-Water Main,1434,60
6918,Utility+AC0-Power Outage,75,60
6861,Utility+AC0-Electric Feeder Cable,2951,60
3737,Utility+AC0-Power Outage,31,60
6937,Utility+AC0-Water Service Line,171,60
6948,Utility+AC0-One Phase Down,438,60
6901,Utility+AC0-Water Main,916,60
3774,Utility+AC0-Gas High Pressure,338,60
6789,Utility+AC0-Transformer,24,60
6852,Utility+AC0-Car Down Elevator Shaft,301,60
3780,Utility+AC0-Water Main,1551,60
3784,Utility+AC0-Gas High Pressure,404,60
6863,Utility+AC0-Water Main,1667,60
6862,Utility+AC0-Water Main,195,60
3797,Utility+AC0-Water Main,1406,60
6878,Utility+AC0-Water Main,966,60
3801,Utility+AC0-Water Main,1213,60
3880,Utility+AC0-Water Service Line,2951,60
7020,Utility+AC0-Water Main,338,60
6933,Utility+AC0-Water Main,2951,60
3807,Utility+AC0-Water Service Line,122,60
6922,Utility+AC0-Broken Pipe,2951,60
6921,Utility+AC0-Water Main,1129,60
3828,Utility+AC0-Power Outage,1901,60
3842,Utility+AC0-Dielectric Fluid Spill,78,60
3846,Utility+AC0-Gas High Pressure,639,60
3854,Utility+AC0-Water Main,589,60
6940,Utility+AC0-Water Main,2951,60
3863,Utility+AC0-Gas Service Line,401,60
3864,Utility+AC0-Water Service Line,64,60
3874,Utility+AC0-Manhole,955,60
7005,Utility+AC0-Electric Feeder Cable,438,60
3882,Utility+AC0-Water Main,642,60
6932,Utility+AC0-Downed Wire,2951,60
3887,Utility+AC0-Gas High Pressure,2951,60
3886,Utility+AC0-Water Main,150,60
3913,Utility+AC0-Power Line Down,107,60
3911,Utility+AC0-Electric Feeder Cable,8,60
3932,Utility+AC0-Gas Main Rupture,235,60
7013,Utility+AC0-Gas Odor,41,60
7006,Utility+AC0-Gas Outage,2951,60
3956,Utility+AC0-Water Main,2148,60
3937,Utility+AC0-Power Outage,85,60
3959,Utility+AC0-Gas Low Pressure,72,60
7023,Utility+AC0-Manhole,285,60
7000,Utility+AC0-Internal Steam Shutdown,412,60
4008,Utility+AC0-Water Main,2951,60
6909,Utility+AC0-Water Main,703,60
6938,Utility+AC0-Water Main,767,60
4007,Utility+AC0-Water Service Line,427,60
6978,Utility+AC0-Water Main,99,60
4015,Utility+AC0-Water Main,724,60
4032,Utility+AC0-Gas High Pressure,39,60
6992,Utility+AC0-Gas Main Rupture,145,60
4058,Utility+AC0-Manhole,131,60
4062,Utility+AC0-Manhole,429,60
6993,Utility+AC0-Gas Low Pressure,58,60
4068,Utility+AC0-Water Main,1781,60
6994,Utility+AC0-Power Outage,180,60
4136,Utility+AC0-DOT Light Pole,220,60
4151,Utility+AC0-Broken Hydrant,214,60
4152,Utility+AC0-Steam Condition,126,60
4161,Utility+AC0-Power Outage,1361,60
4158,Utility+AC0-Heat Outage,217,60
4162,Utility+AC0-Power Outage,278,60
6983,Utility+AC0-Water Main,392,60
4180,Utility+AC0-Water Main,454,60
4184,Utility+AC0-Water Main,2012,60
4187,Utility+AC0-Power Outage,431,60
4186,Utility+AC0-Manhole,169,60
4202,Utility+AC0-Water Main,756,60
4200,Utility+AC0-Water Main,62,60
6986,Utility+AC0-Water Service Line,120,60
4201,Utility+AC0-Water Main,106,60
4228,Utility+AC0-Water Service Line,2951,60
4205,Utility+AC0-Power Outage,537,60
7009,Utility+AC0-Power Outage,149,60
4206,Utility+AC0-Water Main,233,60
4208,Utility+AC0-Water Service Line,189,60
4211,Utility+AC0-Water Condition,518,60
6973,Utility+AC0-Water Service Line,144,60
4237,Utility+AC0-Water Main,2951,60
4226,Utility+AC0-Water Main,1147,60
7059,Utility+AC0-Gas Low Pressure,45,60
7028,Utility+AC0-Flooding in Con Ed Substation,47,60
4230,Utility+AC0-Manhole,469,60
7074,Utility+AC0-Manhole,1343,60
4231,Utility+AC0-Manhole,42,60
4234,Utility+AC0-Manhole,1787,60
4255,Utility+AC0-Dielectric Fluid Leak,2951,60
4232,Utility+AC0-Water Service Line,96,60
4236,Utility+AC0-Water Main,866,60
4253,Utility+AC0-Water Main,1834,60
4249,Utility+AC0-Water Service Line,422,60
4269,Utility+AC0-Water Main,2951,60
4254,Utility+AC0-Water Main,222,60
4270,Utility+AC0-Water Service Line,1603,60
4271,Utility+AC0-Water Main,1175,60
7154,Utility+AC0-Water Service Line,2951,60
4276,Utility+AC0-Water Main,726,60
4280,Utility+AC0-Water Main,66,60
7035,Utility+AC0-Water Main,2951,60
4285,Utility+AC0-Water Condition,1165,60
4284,Utility+AC0-Water Main,786,60
4281,Utility+AC0-Steam Service Line,55,60
7045,Utility+AC0-Network Condition,2951,60
4304,Utility+AC0-Water Service Line,1590,60
4311,Utility+AC0-Gas Service Line,80,60
4327,Utility+AC0-Damaged Sidewalk/ Exposed Wires,2065,60
7126,Utility+AC0-Water Main,438,60
4328,Utility+AC0-Water Service Line,501,60
4332,Utility+AC0-Water Main,1396,60
4338,Utility+AC0-Water Main,131,60
7029,Utility+AC0-Power Outage,192,60
4394,Utility+AC0-Gas High Pressure,80,60
4399,Utility+AC0-Gas High Pressure,545,60
4407,Utility+AC0-Gas Odor,60,60
4408,Utility+AC0-Gas Service Disruption,444,60
4409,Utility+AC0-Gas Leak,16,60
4414,Utility+AC0-Water Main,2951,60
4448,Utility+AC0-Water Main,1489,60
7170,Utility+AC0-Power Outage,88,60
7076,Utility+AC0-Manhole,578,60
7156,Utility+AC0-Power Outage,39,60
7080,Utility+AC0-Power Outage,103,60
4481,Utility+AC0-Water Main,807,60
7106,Utility+AC0-Gas Main Rupture,59,60
7172,Utility+AC0-Water Condition,2349,60
4523,Utility+AC0-Gas Main Rupture,797,60
4525,Utility+AC0-Water Main,1092,60
7107,Utility+AC0-Water Service Line,77,60
7200,Utility+AC0-Gas Service Line,97,60
4542,Utility+AC0-Odor Of Gas,55,60
