iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
3030,5631768.0,9894991.0,2372.72,3145.1125
3040,5535592.5,9910940.0,2352.22,3147.9088
3050,5572093.5,9803961.0,2360.03,3130.7411
3060,5544378.5,9822028.0,2354.15,3133.45
3070,5579362.5,9768728.0,2361.54,3124.8864
3080,5658287.0,9825909.0,2378.4,3134.1211
3090,5649691.0,9651219.0,2376.46,3106.3658
3100,5546864.5,9784294.0,2354.61,3127.7201
3110,5512797.0,9813890.0,2347.35,3132.3306
3120,5450093.5,9902329.0,2333.91,3146.6554
3130,5640938.0,9730732.0,2374.63,3118.7966
3140,5766124.0,9846092.0,2400.9,3137.4935
3150,5656618.5,9775844.0,2377.97,3125.6186
3160,5539740.5,9866298.0,2353.18,3140.92
3170,5548544.0,9857694.0,2355.04,3139.4803
3180,5631232.5,9861399.0,2372.51,3139.9055
3190,5550784.0,9737701.0,2355.54,3119.9407
3200,5457681.5,9704552.0,2335.54,3114.5849
3210,5550956.0,9734707.0,2355.59,3119.9082
3220,5525402.5,9838961.0,2350.13,3136.3715
3230,5508255.0,9770565.0,2346.48,3125.0735
3240,5510671.5,9749090.0,2347.02,3121.6521
3250,5561380.5,9691773.0,2357.85,3112.7024
3260,5478872.5,9835297.0,2340.1,3135.8689
3270,5536956.0,9738871.0,2352.52,3120.5182
3280,5624632.0,9651540.0,2371.19,3106.2489
3290,5561549.0,9932431.0,2357.78,3151.3144
3300,5617662.0,9569804.0,2369.71,3093.092
3310,5514654.0,9829099.0,2347.78,3134.3845
3320,5562533.5,9800767.0,2357.94,3129.9224
3330,5490833.0,9660226.0,2342.62,3107.435
3340,5456951.5,9862254.0,2335.36,3139.8283
3350,5528823.0,9919839.0,2350.85,3149.2092
3360,5489245.0,9675127.0,2342.36,3110.0759
3370,5413210.5,9711063.0,2325.97,3116.1121
3380,5383174.0,9670290.0,2319.5,3109.3637
3390,5442599.0,9869428.0,2332.33,3141.2785
3400,5397863.5,9773200.0,2322.54,3125.8383
3410,5363979.0,9812716.0,2315.23,3131.7588
3420,5451773.5,9709767.0,2334.21,3114.7688
3430,5441871.5,9805153.0,2332.06,3130.8083
3440,5389902.5,9852947.0,2320.7,3138.6988
3450,5371184.0,9733108.0,2316.75,3119.2727
3460,5370494.5,9847913.0,2316.56,3137.6635
3470,5309660.5,9670368.0,2303.22,3109.3083
3480,5269914.5,9725999.0,2294.63,3118.4463
3490,5300339.5,9658832.0,2301.36,3107.6137
3500,5389909.5,9749681.0,2320.96,3122.1254
3510,5403229.5,9836772.0,2323.75,3136.2244
3520,5395523.0,9760520.0,2322.12,3123.3635
3530,5245690.5,9762152.0,2289.31,3123.7666
3540,5227608.0,9800552.0,2285.37,3130.1936
3550,5206984.5,9890911.0,2280.82,3144.7014
3560,5273193.0,9781462.0,2295.32,3126.6131
3570,5301452.0,9700343.0,2301.49,3113.9195
3580,5390478.0,9761531.0,2320.68,3123.7111
3590,5387374.5,9949624.0,2320.36,3153.9024
3600,5914522.5,9911953.0,2431.18,3147.8867
3610,5640368.0,9917680.0,2374.39,3148.8092
3620,5504656.5,9855972.0,2345.44,3139.22
3630,5430959.0,9835059.0,2329.48,3135.6199
3640,5426478.5,10086228.0,2328.59,3175.2956
3650,5395357.0,9834206.0,2321.91,3135.148
3660,5540270.0,9878177.0,2353.05,3142.3419
3670,5458976.5,9951374.0,2335.56,3153.8228
3680,5801521.0,9875647.0,2407.48,3142.258
3690,5470584.5,9849970.0,2337.99,3138.1759
3700,5408146.0,9900751.0,2324.58,3146.0386
3710,5397752.0,9864380.0,2322.34,3139.6745
3720,5455153.5,9956119.0,2334.66,3154.7986
3730,5404981.5,9971759.0,2323.85,3157.3078
3740,5570173.0,10015873.0,2359.54,3164.4035
3750,5386434.5,10050106.0,2319.94,3169.4187
3760,5577101.0,9920695.0,2360.97,3149.0982
3770,5397681.5,9978515.0,2322.55,3158.555
3780,5303067.0,10007785.0,2301.72,3162.7843
3790,5221909.5,9920578.0,2283.92,3148.8162
3800,5374749.5,10000468.0,2317.48,3161.7111
3810,5681464.0,9825103.0,2382.98,3133.8702
3820,5571257.0,9856407.0,2359.44,3138.8276
3830,5404838.0,9725707.0,2324.01,3117.6112
3840,5554817.5,9728481.0,2356.24,3118.287
3850,5590657.5,9930920.0,2363.77,3150.8699
3860,5631395.0,9848935.0,2372.54,3137.8412
3870,5532539.5,10022476.0,2351.32,3164.9554
3880,5785151.0,9817655.0,2405.01,3132.6591
3890,5611777.5,10001687.0,2368.4,3161.7493
3900,6297539.5,10295865.0,2508.96,3207.7694
3910,5811188.0,9938831.0,2410.07,3152.0117
3920,5741343.5,9845503.0,2395.55,3137.172
3930,5714504.0,9863149.0,2389.63,3140.0003
3940,5733947.0,9731935.0,2393.81,3119.1658
3950,5608477.0,9739987.0,2367.54,3120.3276
3960,5483696.0,9826863.0,2340.74,3134.3329
3970,5678779.5,9987795.0,2382.01,3159.9041
3980,5560034.0,9631764.0,2357.17,3103.267
3990,5551891.5,9686853.0,2355.5,3111.9468
4000,5461926.5,9763990.0,2336.13,3124.0603
4010,5444876.5,9837650.0,2332.19,3136.2619
4020,5546954.5,9694575.0,2354.25,3112.9729
4030,5413852.0,9764114.0,2325.61,3124.0516
4040,5383776.5,9693897.0,2319.2,3112.9408
4050,5402093.5,9989423.0,2323.23,3160.2179
4060,5258386.5,9918352.0,2291.8,3149.114
4070,5297085.0,9931877.0,2300.31,3151.2771
4080,5271075.0,9722609.0,2294.45,3117.4252
4090,5834911.0,9608929.0,2414.52,3099.2418
4100,5725537.5,9927440.0,2392.34,3150.3127
4110,5606576.0,9781505.0,2367.07,3127.2733
4120,5366204.5,9719408.0,2315.53,3116.7451
4130,5335470.5,9817342.0,2308.83,3132.7418
4140,5281616.5,9732846.0,2297.15,3119.4785
4150,5243186.5,9889987.0,2288.62,3144.4394
4160,5351072.0,9651568.0,2312.11,3106.3986
4170,5372263.0,9527823.0,2316.86,3086.2388
4180,5203691.5,9434261.0,2279.83,3070.6102
4190,5433496.0,9715012.0,2329.9,3116.4208
4200,5253723.5,9606611.0,2291.05,3098.0443
4210,5302523.5,9860009.0,2301.6,3139.6773
4220,5566997.5,10036476.0,2358.74,3167.4722
4230,5396034.5,9765289.0,2321.92,3124.735
4240,5436090.0,9870923.0,2330.39,3140.8237
4250,5690550.0,10039973.0,2384.3,3168.0429
4260,5715702.0,9813402.0,2390.09,3132.3217
4270,5470511.5,9836952.0,2338.02,3136.2132
4280,5538460.5,10059978.0,2352.57,3171.0742
4290,5404577.0,9949790.0,2323.97,3153.8338
4300,5340553.0,9743959.0,2309.98,3120.2725
4310,5361243.0,9841419.0,2314.54,3136.684
4320,5242863.0,9837512.0,2288.57,3136.1132
4330,5270602.0,10089937.0,2294.66,3176.043
4340,5340512.0,9948047.0,2309.93,3153.2761
4350,5217767.0,9987572.0,2283.11,3159.8022
4360,5216803.5,9956237.0,2282.87,3155.0406
4370,5482477.5,9730767.0,2340.35,3118.9663
4380,5391458.0,9683463.0,2320.6,3110.6938
4390,5341174.0,10065179.0,2309.77,3171.9103
4400,5287479.0,9777810.0,2298.13,3126.4094
4410,5323419.5,10297744.0,2305.96,3208.5603
4420,5232429.0,10095084.0,2285.52,3176.8254
4430,5316439.5,9917031.0,2304.46,3148.3267
4440,5297876.5,10007422.0,2300.39,3162.7405
4450,5233861.5,9931163.0,2286.13,3150.5755
4460,5361373.5,9910956.0,2314.08,3147.1686
4470,5809046.0,10029200.0,2409.44,3166.2414
4480,6197867.5,10035606.0,2488.71,3167.3636
4490,6073708.0,10020469.0,2464.27,3165.2558
4500,6077817.5,10135865.0,2464.56,3182.7133
4510,6203237.0,9955300.0,2490.12,3154.5776
4520,6484054.5,9887163.0,2545.65,3144.1512
4530,6155118.5,9886258.0,2480.48,3143.3797
4540,5991323.5,9896349.0,2447.48,3145.4959
4550,5960563.0,9947056.0,2441.13,3153.4289
4560,5853561.5,10165651.0,2418.65,3187.995
4570,6508386.0,10065871.0,2550.47,3172.3714
4580,5977311.0,10009976.0,2444.46,3163.6658
4590,5864226.0,10048588.0,2421.2,3169.143
4600,5844364.0,9737269.0,2417.13,3119.3391
4610,6002526.5,9756707.0,2449.64,3122.9539
4620,5923215.0,9881400.0,2433.17,3142.666
4630,5951787.5,9921405.0,2438.96,3148.6107
4640,5818265.5,9829657.0,2410.95,3134.4263
4650,5677094.5,9697223.0,2382.22,3113.8757
4660,5587168.0,9954681.0,2362.94,3153.7718
4670,5461519.5,9868079.0,2335.8,3140.5214
4680,5591297.0,9857619.0,2363.96,3138.6732
4690,5834422.5,10208912.0,2414.7,3193.3042
4700,5859755.0,10148453.0,2419.5,3185.1139
4710,5591719.5,9879509.0,2363.8,3142.3981
4720,5577652.5,9902172.0,2360.18,3145.9846
4730,5544212.0,9809709.0,2353.15,3130.6398
4740,5586961.5,9818784.0,2362.63,3132.5975
4750,5508333.0,9908118.0,2345.71,3146.446
4760,5487888.0,10042573.0,2341.14,3168.6511
4770,6073501.0,9659207.0,2463.19,3107.4126
4780,5883114.0,9881842.0,2424.18,3142.7728
4790,5561488.0,9826639.0,2357.34,3134.1074
4800,5583037.5,10118465.0,2361.68,3179.7512
4810,5550159.5,9814793.0,2354.54,3132.2625
4820,5403851.5,9631422.0,2323.33,3102.9348
4830,5671674.0,9790698.0,2380.22,3128.692
4840,5604855.0,10151724.0,2366.55,3185.8134
4850,5513552.0,10219661.0,2346.7,3196.0508
