iteration,trainRMSE
130,"[2678.600071063559, 2678.5801549177236, 2678.6790339920144, 2678.680694121218, 2678.659985141561, 2678.6606127702366, 2678.6605572296526, 2684.3130043276774, 2684.317953100246, 2684.315832824165]"
140,"[2674.4540457623716, 2674.433064545035, 2674.522997629629, 2674.5254505446483, 2674.50624648092, 2674.5053860016988, 2674.5053014437763, 2680.1112176928286, 2680.113724456322, 2680.1122587925324]"
150,"[2670.185514571914, 2670.1678272527706, 2670.2485694963825, 2670.2518802495583, 2670.234287759933, 2670.2318459062794, 2670.2317290828555, 2675.787736987486, 2675.78763998491, 2675.7868723371257]"
160,"[2665.8315515911772, 2665.815186616816, 2665.8859122760873, 2665.8901866637607, 2665.8743211482692, 2665.8701954076428, 2665.8700467183526, 2671.3727321914466, 2671.36987074317, 2671.369844234459]"
170,"[2661.4040985642728, 2661.40306139862, 2661.465715972757, 2661.471212711592, 2661.45718700398, 2661.4512878345513, 2661.451108634096, 2666.897015062995, 2666.8912292730465, 2666.8919868250196]"
180,"[2656.9691868033515, 2656.9686010517503, 2657.0202495007234, 2657.026769263771, 2657.0146557985663, 2657.006881218402, 2657.0066665177333, 2662.3922844243407, 2662.383415026429, 2662.38499939543]"
190,"[2652.541277376747, 2652.541958449402, 2652.582036418803, 2652.589632370086, 2652.5795312709265, 2652.5697939974675, 2652.569569140443, 2657.8914285167575, 2657.8793209583805, 2657.8780091579256]"
200,"[2648.0484729828086, 2648.048624385746, 2648.076260954607, 2648.0850170538915, 2648.077080656143, 2648.065214024466, 2648.064921886546, 2653.317485971943, 2653.301887171777, 2653.3052760966493]"
210,"[2643.655817556902, 2643.6566138000976, 2643.6712808418533, 2643.681246879076, 2643.675571852123, 2643.6614951314277, 2643.6611611775984, 2648.840993070623, 2648.8217586027026, 2648.826122157701]"
220,"[2639.3813374481083, 2639.382896298959, 2639.384010798767, 2639.395239449046, 2639.3919253890813, 2639.3755331849165, 2639.3751199461144, 2644.4782009726146, 2644.453998946539, 2644.454579512418]"
230,"[2635.2719595992003, 2635.2758692979232, 2635.2637057499905, 2635.276319569718, 2635.275432909566, 2635.2565453636885, 2635.254338655309, 2640.2686639535523, 2640.2430260327815, 2640.2246862590646]"
240,"[2631.3330203702403, 2631.343092507487, 2631.343734751913, 2631.3625268280925, 2631.3666488294743, 2631.349734551597, 2631.3323945234174, 2636.2478575369128, 2636.24535782299, 2636.2319074845173]"
250,"[2627.6326915639484, 2627.6471248717517, 2627.6924852220764, 2627.7591104257594, 2627.6910832706994, 2627.813537643162, 2627.7932165106304, 2632.6528473135404, 2632.6486406032645, 2632.271636273209]"
260,"[2624.299913100346, 2624.3093769998504, 2624.2942202561994, 2624.3281901553637, 2624.3245252256065, 2624.268773349029, 2624.2183284964913, 2628.8987247114947, 2628.8236455020224, 2628.767721416139]"
270,"[2621.2249112866675, 2621.2765492875037, 2621.2658215867023, 2621.3180258254943, 2621.2931480507846, 2621.2328538332918, 2621.1315982762485, 2625.706555926772, 2625.7121503486082, 2625.65132516498]"
280,"[2618.3412597110796, 2618.396843062635, 2618.5017250978813, 2618.395774501715, 2618.380281772982, 2618.2690104546796, 2618.074006590544, 2622.528175144673, 2622.6349519538503, 2622.820017203725]"
290,"[2616.086142511442, 2616.121843747655, 2616.194801538066, 2615.9610030137596, 2615.712331573317, 2615.319405347544, 2615.2543685298597, 2620.288667208398, 2620.569010298242, 2620.4113392542386]"
300,"[2614.305648602182, 2614.5208083257457, 2614.522755693897, 2614.434201070881, 2614.2997857437317, 2614.0486980130877, 2613.8421846226693, 2618.238423851162, 2618.1826415752666, 2617.805557841327]"
