Incident Type,Creation Date,Response Time
Utility-Other,2016-02-16,132
Utility-Power Outage,2016-02-16,233
Utility-Water Service Line,2016-02-17,106
Fire-Sensitive Location,2016-02-19,131
Utility-Manhole,2016-02-24,211
Utility-Gas Service Line,2016-02-25,111
Fire-Other,2016-02-26,176
Fire-1st Alarm,2016-02-29,175
Fire-Haz Mat,2016-02-29,1220
Fire-Haz Mat,2016-03-02,157
Utility-Gas Main Rupture,2016-03-02,95
Utility-Power Outage,2016-03-04,476
Fire-10-76 (Commercial High Rise Fire),2016-03-04,197
Utility-Manhole,2016-03-04,134
Fire-3rd Alarm,2016-03-06,4865
Fire-10-76 (Commercial High Rise Fire),2016-03-06,98
Utility-Gas High Pressure,2016-03-08,127
Utility-Gas Service Line,2016-03-08,233
Utility-Water Service Line,2016-03-10,2664
Fire-10-77 (Residential High Rise Fire),2016-03-11,66
Fire-3rd Alarm,2016-03-13,163
Fire-3rd Alarm,2016-03-13,150
Utility-Water Service Line,2016-03-13,376
Utility-Water Service Line,2016-03-15,252
Fire-Manhole,2016-03-17,68
Utility-Water Service Line,2016-03-18,4467
Fire-1st Alarm,2016-03-18,217
Utility-Power Outage,2016-03-21,106
Utility-Power Outage,2016-03-21,270
Utility-Other,2016-03-22,1308
Fire-Sensitive Location,2016-03-22,129
Utility-Water Service Line,2016-03-23,1495
Fire-Haz Mat,2016-03-24,147
Fire-School,2016-03-25,93
Fire-3rd Alarm,2016-03-26,5264
Fire-3rd Alarm,2016-03-29,218
Utility-Gas Main Rupture,2016-03-30,4096
Fire-Haz Mat,2016-03-31,505
Utility-Power Outage,2016-04-02,1626
Fire-Collapse,2016-04-03,765
Fire-5th Alarm,2016-04-03,9297
Fire-10-77 (Residential High Rise Fire),2016-04-06,175
Fire-3rd Alarm,2016-04-07,738
Utility-Other,2016-04-08,6989
Fire-3rd Alarm,2016-04-13,373
Fire-4th Alarm,2016-04-19,778
Utility-Manhole,2016-04-20,347
Utility-Other,2016-04-21,403
Utility-Water Service Line,2016-04-23,1634
Fire-Haz Mat,2016-04-23,322
Utility-Other,2016-04-27,3079
Fire-Haz Mat,2016-04-28,169
Utility-Water Service Line,2016-04-30,628
Utility-Power Outage,2016-05-03,62
Utility-Other,2016-05-03,96
Utility-Power Outage,2016-05-04,170
Utility-Other,2016-05-04,70
Utility-Other,2016-05-05,449
Utility-Gas Service Line,2016-05-12,100
Fire-Sensitive Location,2016-05-13,89
Fire-Haz Mat,2016-05-13,896
Fire-10-77 (Residential High Rise Fire),2016-05-15,66
Utility-Other,2016-05-16,4286
Fire-1st Alarm,2016-05-16,1174
Fire-4th Alarm,2016-05-17,6735
Utility-Water Service Line,2016-05-18,131
Fire-Other,2016-05-19,316
Utility-Power Outage,2016-05-20,279
Utility-Other,2016-05-24,423
Utility-Other,2016-05-24,295
Utility-Other,2016-05-27,955
Utility-Other,2016-06-01,1018
Utility-Water Service Line,2016-06-02,4124
Fire-1st Alarm,2016-06-05,166
Fire-1st Alarm,2016-06-05,70
Utility-Power Outage,2016-06-05,508
Utility-Water Service Line,2016-06-06,2605
Fire-Other,2016-06-11,953
Utility-Power Outage,2016-06-11,164
Utility-Other,2016-06-13,1280
Fire-1st Alarm,2016-06-14,69
Fire-1st Alarm,2016-06-15,213
Utility-Manhole,2016-06-16,207
Utility-Other,2016-06-17,110
Utility-Manhole,2016-06-19,283
Fire-1st Alarm,2016-06-21,5941
Utility-Power Outage,2016-06-22,141
Utility-Gas Main Rupture,2016-06-22,4142
Fire-1st Alarm,2016-06-22,230
Utility-Other,2016-06-27,147
