Incident Type,Creation Date,Response Time,Incident Number
Fire-10-76 (Commercial High Rise Fire),2014-10-10,82,15
Fire-1st Alarm,2014-10-13,157,4
Fire-2nd Alarm,2014-10-14,101,2
Fire-2nd Alarm,2014-10-14,129,2
Fire-2nd Alarm,2014-10-15,583,2
Fire-2nd Alarm,2014-10-15,267,2
Fire-1st Alarm,2014-10-15,13,4
Fire-1st Alarm,2014-10-21,204,4
Fire-Collapse,2014-10-23,157,14
Fire-10-76 (Commercial High Rise Fire),2014-11-02,67,15
Fire-Other,2014-11-02,234,17
Fire-2nd Alarm,2014-11-02,173,2
Fire-2nd Alarm,2014-11-03,117,2
Fire-2nd Alarm,2014-11-04,229,2
Fire-Sensitive Location,2014-11-05,373,6
Fire-1st Alarm,2014-11-05,167,4
Fire-2nd Alarm,2014-11-05,241,2
Fire-2nd Alarm,2014-11-06,155,2
Fire-1st Alarm,2014-11-07,97,4
Fire-2nd Alarm,2014-11-10,1236,2
Fire-Explosion,2014-11-13,1799,9
Fire-2nd Alarm,2014-11-16,298,2
Fire-Manhole,2014-11-17,246,8
Fire-Manhole,2014-11-19,1228,8
Fire-1st Alarm,2014-11-19,51,4
Fire-2nd Alarm,2014-11-20,191,2
Fire-2nd Alarm,2014-11-21,217,2
Fire-3rd Alarm,2014-11-22,3854,5
Fire-3rd Alarm,2014-11-25,1613,5
Fire-1st Alarm,2014-11-25,354,4
Fire-Explosion,2014-11-27,181,9
Fire-Sensitive Location,2014-11-28,115,6
Fire-10-76 (Commercial High Rise Fire),2014-11-29,102,15
Fire-2nd Alarm,2014-12-05,102,2
Fire-2nd Alarm,2014-12-09,195,2
Fire-10-76 (Commercial High Rise Fire),2014-12-09,40,15
Fire-School,2014-12-11,80,3
Fire-10-77 (Residential High Rise Fire),2014-12-12,1444,16
Fire-Sensitive Location,2014-12-12,142,6
Fire-2nd Alarm,2014-12-14,119,2
Fire-2nd Alarm,2014-12-14,253,2
Fire-3rd Alarm,2014-12-15,1983,5
Fire-2nd Alarm,2014-12-15,997,2
Fire-2nd Alarm,2014-12-15,628,2
Fire-1st Alarm,2014-12-16,68,4
Fire-1st Alarm,2014-12-17,70,4
Fire-2nd Alarm,2014-12-18,0,2
Fire-10-76 (Commercial High Rise Fire),2014-12-19,57,15
Fire-2nd Alarm,2014-12-20,295,2
Fire-2nd Alarm,2014-12-20,214,2
Fire-2nd Alarm,2014-12-21,169,2
Fire-2nd Alarm,2014-12-21,144,2
Fire-3rd Alarm,2014-12-24,240,5
Fire-1st Alarm,2014-12-30,98,4
Fire-2nd Alarm,2014-12-31,206,2
Fire-2nd Alarm,2014-12-31,187,2
Fire-1st Alarm,2015-01-02,43,4
Fire-2nd Alarm,2015-01-04,2683,2
Fire-2nd Alarm,2015-01-05,687,2
Fire-Sensitive Location,2015-01-07,115,6
Fire-2nd Alarm,2015-01-07,342,2
Fire-1st Alarm,2015-01-08,122,4
Fire-2nd Alarm,2015-01-09,1042,2
Fire-10-77 (Residential High Rise Fire),2015-01-10,74,16
Fire-2nd Alarm,2015-01-11,146,2
Fire-1st Alarm,2015-01-12,61,4
Fire-3rd Alarm,2015-01-13,849,5
Fire-1st Alarm,2015-01-13,596,4
