Incident Type,Creation Date,Response Time,Incident Number
Structural-Bricks,2011-11-11,118,4
Structural-Life Safety Violations,2011-11-22,56,6
Structural-Life Safety Violations,2011-11-25,130,6
Structural-Construction Accident,2011-11-29,47,1
Structural-Stability Problem,2011-12-03,124,11
Structural-Street Collapse,2011-12-07,78,7
Structural-Partial Collapse,2011-12-07,61,12
Structural-Collapse,2011-12-08,138,5
Structural-Scaffold,2011-12-16,1000,3
Structural-Construction Accident,2011-12-18,147,1
Structural-Collapse,2011-12-19,73,5
Structural-Construction Accident,2011-12-22,82,1
Structural-Stability Problem,2011-12-24,51,11
Structural-Scaffold,2011-12-30,646,3
Structural-Scaffold,2012-01-02,37,3
Structural-Falling Debris,2012-01-11,140,10
Structural-Falling Debris,2012-01-13,82,10
Structural-Scaffold,2012-01-21,102,3
Structural-Construction Accident,2012-01-25,281,1
Structural-Collapse,2012-01-25,35,5
Structural-Partial Collapse,2012-01-27,3246,12
Structural-Falling Debris,2012-01-31,139,10
Structural-Scaffold,2012-02-05,34,3
Structural-Sidewalk Shed,2012-02-09,581,9
Structural-Collapse,2012-02-10,118,5
Structural-Collapse,2012-02-18,86,5
Structural-Confined Space,2012-03-02,44,2
Structural-Falling Debris,2012-03-02,203,10
Structural-Stability Problem,2012-03-05,184,11
Structural-Bricks,2012-03-14,120,4
Structural-Collapse,2012-03-17,2159,5
Structural-Falling Debris,2012-03-20,50,10
Structural-Partial Collapse,2012-03-22,542,12
Structural-Construction Accident,2012-03-24,116,1
Structural-Scaffold,2012-03-25,118,3
Structural-Construction Accident,2012-03-30,84,1
Structural-Collapse,2012-04-03,3562,5
Structural-Collapse,2012-04-03,107,5
Structural-Collapse,2012-04-03,2460,5
Structural-Collapse,2012-04-13,80,5
Structural-Falling Debris,2012-04-18,163,10
Structural-Scaffold,2012-04-19,103,3
Structural-Scaffold,2012-04-26,89,3
Structural-Scaffold,2012-05-05,352,3
Structural-Construction Accident,2012-05-21,94,1
Structural-Construction Accident,2012-05-21,34,1
Structural-Scaffold,2012-05-24,127,3
Structural-Construction Accident,2012-05-24,529,1
Structural-Scaffold,2012-05-31,40,3
Structural-Collapse,2012-06-07,592,5
Structural-Collapse,2012-06-07,848,5
Structural-Construction Accident,2012-06-14,23,1
Structural-Partial Collapse,2012-06-19,291,12
Structural-Falling Debris,2012-06-22,56,10
Structural-Construction Accident,2012-06-26,106,1
Structural-Falling Debris,2012-06-27,567,10
Structural-Street Collapse,2012-06-28,47,7
Structural-Collapse,2012-06-29,156,5
Structural-Street Collapse,2012-07-01,1674,7
Structural-Scaffold,2012-07-02,230,3
Structural-Collapse,2012-07-05,1462,5
Structural-Street Collapse,2012-07-07,1193,7
Structural-Scaffold,2012-07-11,500,3
Structural-Stability Problem,2012-07-12,933,11
Structural-Construction Accident,2012-07-13,93,1
Structural-Partial Collapse,2012-07-16,1073,12
Structural-Street Collapse,2012-07-18,466,7
Structural-Construction Accident,2012-07-21,79,1
Structural-Collapse,2012-07-25,2361,5
Structural-Falling Debris,2012-07-31,317,10
Structural-Falling Debris,2012-08-05,2405,10
Structural-Construction Accident,2012-08-07,101,1
Structural-Partial Collapse,2012-08-08,399,12
Structural-Stability Problem,2012-08-12,50,11
Structural-Life Safety Violations,2012-08-18,1561,6
Structural-Sidewalk Shed,2012-08-20,424,9
