iteration,trainRMSE
630,"[2659.1298768015126, 2655.8300912622053, 2649.5714922868674, 2647.011252723811, 2646.0935406365825, 2649.4778216268237, 2647.9595629022274, 2650.6085249928824, 2649.733380473752, 2652.3695728184516]"
640,"[2658.353108900905, 2655.22216377169, 2646.892671851322, 2645.183387881037, 2646.721760968201, 2648.0401846531877, 2651.0332162089444, 2649.8072407715254, 2651.465327437168, 2650.766716288514]"
650,"[2657.949033402086, 2656.4281295935643, 2650.7531918179134, 2645.9707996280085, 2646.942400181169, 2647.8700808415647, 2647.8256794765116, 2649.270376297518, 2650.4389897692463, 2651.782322079364]"
660,"[2657.0841483557315, 2655.1802019890415, 2646.032807809076, 2646.6660551624154, 2647.697613900159, 2645.839880763475, 2646.5136629817166, 2648.2285204494633, 2648.185781319652, 2648.6443284089087]"
670,"[2654.600978847266, 2651.701525300226, 2644.684819178183, 2643.1623488563127, 2645.8483833039704, 2647.2287297768553, 2649.368314007074, 2649.681181400108, 2648.8148466534435, 2649.1834938837765]"
680,"[2655.1865298549833, 2649.8959407128614, 2648.2900855205216, 2648.963503987533, 2648.2277823212744, 2648.818882045181, 2650.003931634226, 2649.783185804469, 2650.5077896250546, 2650.884235322857]"
690,"[2658.5859405186497, 2658.6295503624215, 2646.6849242381554, 2647.1478318116565, 2648.063314868651, 2648.827686277812, 2651.489164039545, 2651.0024501387074, 2648.185232661374, 2646.533109499362]"
700,"[2655.730862480027, 2656.79520314616, 2648.8554758921155, 2646.735544591768, 2645.366085977914, 2649.3662966072748, 2647.7356680521075, 2650.2824035235185, 2648.848686004169, 2650.8645252223614]"
710,"[2656.1462605336005, 2650.9022676679474, 2646.747293014655, 2647.2966002242797, 2645.4097809529508, 2647.5541599897597, 2649.2295610692813, 2649.162331282402, 2649.8861705556187, 2649.1777656304107]"
720,"[2653.2349213491657, 2647.101093647624, 2644.165851199932, 2645.1278882199167, 2644.4693067466774, 2645.8042512821035, 2647.585141862482, 2648.9297705303943, 2649.0795553734993, 2647.0478183242026]"
730,"[2654.3868576029304, 2647.5426101209823, 2643.7103128585272, 2644.103263172451, 2643.9593000931104, 2645.1367485906903, 2647.2769422461124, 2647.7675973696405, 2648.544306905442, 2647.8055421297922]"
740,"[2652.907686364322, 2645.3614684859654, 2643.99393606385, 2643.034162764492, 2642.5404474087995, 2643.486840252668, 2645.2086022039603, 2646.880537500347, 2645.566099616988, 2643.9216169677793]"
750,"[2655.2280264886085, 2649.7773988182603, 2647.6025225316516, 2646.4977738759294, 2645.8810862630976, 2646.8795230841056, 2648.9650045362355, 2648.749870902574, 2650.086817164169, 2650.7981628832295]"
760,"[2653.2228474302715, 2646.937454833603, 2644.4651662449924, 2644.318455692263, 2643.3822814946593, 2646.086088709528, 2645.934209797936, 2647.142505781547, 2646.809625089906, 2646.5268018832307]"
770,"[2652.118485125798, 2644.64853036685, 2641.0929662167437, 2642.1662736450153, 2642.483240195104, 2642.6533253809744, 2645.232705794542, 2644.3979642872364, 2644.309465405575, 2643.506630684982]"
780,"[2656.3194148172674, 2644.787287255137, 2641.5928161362585, 2643.140882137174, 2643.3822730646175, 2643.769176147429, 2649.7197237638347, 2645.049938502878, 2644.8446233043524, 2643.0865115918537]"
790,"[2653.024136795353, 2651.4831967117493, 2642.852373925334, 2639.04838578995, 2644.2719578244064, 2643.2789847043528, 2643.368255389108, 2644.539048731434, 2645.366831973197, 2644.8105550376663]"
800,"[2652.2076895568034, 2645.8785589202466, 2640.7767052065046, 2643.1065916212788, 2640.695505240522, 2642.440032487082, 2642.7711014780825, 2644.3801268455254, 2644.3409221357724, 2642.9999502667574]"
810,"[2656.2248943290156, 2650.396951463706, 2646.709319540546, 2643.0518275203567, 2644.187722889591, 2641.3857277145717, 2643.6652627067206, 2642.1184999619395, 2643.164905026867, 2641.566905235478]"
820,"[2650.908117993875, 2641.206577812544, 2638.4358004491614, 2638.566305199167, 2639.5606022420284, 2643.8379584089457, 2643.7072058473723, 2643.1052171071633, 2642.9052867648916, 2638.255376329738]"
830,"[2650.4397776829, 2641.324641054096, 2638.712195098839, 2639.7989419992064, 2640.2969335218113, 2641.500930374019, 2641.0864217157055, 2641.4293671741234, 2642.4889325438735, 2639.0216453250496]"
840,"[2651.1942721230002, 2645.1062701415353, 2636.5375653069996, 2637.421324873602, 2638.3125208484216, 2644.1203140039956, 2643.324068581878, 2642.467346088047, 2640.4600879346253, 2638.9925324988385]"
850,"[2651.487443992418, 2639.6851543552816, 2637.0937168536907, 2635.7764381409042, 2644.378534436038, 2640.8266934003045, 2642.668054664437, 2640.951192415152, 2642.4465260777274, 2638.575126543171]"
860,"[2653.8638817349783, 2645.8712408662036, 2635.4143095925897, 2635.6269521214904, 2639.0244700419853, 2641.2794814172803, 2643.7548981415257, 2641.545092200665, 2638.930868098125, 2634.817265252228]"
870,"[2651.658201126363, 2643.83603562608, 2637.3203615443927, 2637.454260756729, 2638.669382527904, 2639.5677945181956, 2644.677784394655, 2638.4675265351966, 2640.6365513529636, 2638.2566820615143]"
880,"[2648.1025721423207, 2640.4704297525786, 2637.6826419262566, 2638.3567226985706, 2638.387790223146, 2638.953412335786, 2638.710631998293, 2640.013755087729, 2641.570441448977, 2639.7838186168947]"
