Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-2nd Alarm,2012-06-11,300.0,2012,2012-24,163
Fire-1st Alarm,2012-06-12,62.0,2012,2012-24,164
Fire-1st Alarm,2012-06-13,384.0,2012,2012-24,165
Fire-4th Alarm,2012-06-21,443.0,2012,2012-25,173
Fire-Manhole,2012-06-22,125.0,2012,2012-25,174
Fire-Sensitive Location,2012-06-24,77.0,2012,2012-26,176
Fire-1st Alarm,2012-06-25,97.0,2012,2012-26,177
Fire-Manhole,2012-06-27,4921.400000000009,2012,2012-26,179
Fire-1st Alarm,2012-07-03,500.0,2012,2012-27,185
Fire-Manhole,2012-07-04,45.0,2012,2012-27,186
Fire-4th Alarm,2012-07-05,1548.0,2012,2012-27,187
Fire-Haz Mat,2012-07-06,82.0,2012,2012-27,188
Fire-10-77 (Residential High Rise),2012-07-07,2793.0,2012,2012-27,189
Fire-School,2012-07-10,98.0,2012,2012-28,192
Fire-3rd Alarm,2012-07-12,1897.0,2012,2012-28,194
Fire-3rd Alarm,2012-07-14,184.0,2012,2012-28,196
Fire-Manhole,2012-07-16,227.0,2012,2012-29,198
Fire-6th Alarm,2012-07-18,4921.400000000009,2012,2012-29,200
Fire-1st Alarm,2012-07-18,91.0,2012,2012-29,200
Fire-3rd Alarm,2012-07-21,2292.0,2012,2012-29,203
Fire-Crane Fire,2012-07-22,4709.0,2012,2012-30,204
Fire-7th Alarm,2012-07-23,4921.400000000009,2012,2012-30,205
Fire-7th Alarm,2012-07-26,4921.400000000009,2012,2012-30,208
Fire-4th Alarm,2012-07-30,538.0,2012,2012-31,212
Fire-10-76 (Commercial High Rise),2012-07-30,183.0,2012,2012-31,212
Fire-2nd Alarm,2012-07-31,130.0,2012,2012-31,213
Fire-Drill,2012-07-31,4921.400000000009,2012,2012-31,213
Fire-School,2012-08-01,217.0,2012,2012-31,214
Fire-Explosion,2012-08-01,123.0,2012,2012-31,214
Fire-1st Alarm,2012-08-05,83.0,2012,2012-32,218
Fire-10-76 (Commercial High Rise),2012-08-08,58.0,2012,2012-32,221
Fire-10-77 (Residential High Rise),2012-08-09,44.0,2012,2012-32,222
Fire-10-77 (Residential High Rise),2012-08-14,88.0,2012,2012-33,227
Fire-3rd Alarm,2012-08-14,1061.0,2012,2012-33,227
Fire-1st Alarm,2012-08-14,197.0,2012,2012-33,227
Fire-Explosion,2012-08-16,41.0,2012,2012-33,229
Fire-3rd Alarm,2012-08-20,2049.0,2012,2012-34,233
Fire-Explosion,2012-08-21,227.0,2012,2012-34,234
Fire-2nd Alarm,2012-08-23,177.0,2012,2012-34,236
Fire-1st Alarm,2012-08-24,80.0,2012,2012-34,237
Fire-Sensitive Location,2012-08-27,48.0,2012,2012-35,240
Fire-4th Alarm,2012-09-03,184.0,2012,2012-36,247
Fire-School,2012-09-06,153.0,2012,2012-36,250
Fire-School,2012-09-07,203.0,2012,2012-36,251
Fire-1st Alarm,2012-09-07,328.0,2012,2012-36,251
Fire-1st Alarm,2012-09-10,174.0,2012,2012-37,254
Fire-Hospital,2012-09-12,71.0,2012,2012-37,256
Fire-4th Alarm,2012-09-15,220.0,2012,2012-37,259
Fire-2nd Alarm,2012-09-28,4921.400000000009,2012,2012-39,272
Fire-Sensitive Location,2012-10-02,2268.0,2012,2012-40,276
Fire-4th Alarm,2012-10-15,4921.400000000009,2012,2012-42,289
Fire-10-76 (Commercial High Rise),2012-10-20,76.0,2012,2012-42,294
Fire-Commercial,2012-10-22,45.0,2012,2012-43,296
Fire-Haz Mat,2012-10-23,141.0,2012,2012-43,297
Fire-Hospital,2012-10-29,328.0,2012,2012-44,303
Fire-6th Alarm,2012-10-30,4921.400000000009,2012,2012-44,304
Fire-2nd Alarm,2012-10-31,406.0,2012,2012-44,305
Fire-2nd Alarm,2012-10-31,84.0,2012,2012-44,305
Fire-Manhole,2012-11-02,239.0,2012,2012-44,307
Fire-1st Alarm,2012-11-09,74.0,2012,2012-45,314
Fire-10-77 (Residential High Rise),2012-11-09,40.0,2012,2012-45,314
Fire-10-77 (Residential High Rise),2012-11-16,58.0,2012,2012-46,321
Fire-3rd Alarm,2012-11-21,375.0,2012,2012-47,326
Fire-2nd Alarm,2012-11-22,1213.0,2012,2012-47,327
