,,,,,,,,,,,Loss tr,Loss te,RMSE,Min-max,std,,,,
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1015.0,1.0,0.1935,20-05-08_17-19,20-05-03_15-37,./Data/With_Features/fire.csv,40001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.065,1013.0,1.0,0.1937,20-05-08_17-20,20-05-03_15-37,./Data/With_Features/fire.csv,42501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1022.0,1.0,0.1965,20-05-08_17-21,20-05-03_15-37,./Data/With_Features/fire.csv,45001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1020.0,1.0,0.1958,20-05-08_17-22,20-05-03_15-37,./Data/With_Features/fire.csv,47501
lstm_unguided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.085,0.054,1149.0,0.32,0.0113,1.0,2501,1284.6330695657311,0.07404706,1.000067575135124,20-05-09_10-30,,./Data/Median_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.081,0.054,1144.0,0.78,0.0155,1.0,10001,1250.3382241670702,0.044500917,1.000067575135124,20-05-09_11-23,,./Data/Median_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.029,0.026,643.0,0.58,0.0142,1.0,7501,720.3064645866539,0.049328823,1.0023779145356153,20-05-10_20-51,,./Data/With_Features/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.025,0.026,646.0,0.72,0.0161,1.0,12501,717.796642800007,0.046093803,1.0023779145356153,20-05-10_22-02,,./Data/With_Features/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.027,0.026,645.0,0.11,0.0111,0.9984310232982595,22501,752.6860514915599,0.07602845,1.0014765547446778,20-05-10_23-17,,./Data/With_Features/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0.028,0.026,642.0,0.28,0.007,1.0,25001,714.790212185707,0.040602367,1.0023779145356153,20-05-11_00-28,,./Data/With_Features/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.086,0.097,1536.0,0.15,0.0169,1.0,32501,1650.5173217944982,0.047673225,1.0020767264727741,20-05-11_01-41,,./Data/DropCloseDate_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.091,0.099,1548.0,0.35,0.0372,0.9972756758496913,45001,1647.6221908783082,0.03865553,0.9981318944366409,20-05-11_03-05,,./Data/DropCloseDate_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.088,0.097,1539.0,0.88,0.0422,1.0,49999,1656.5141993766294,0.047738302,1.0020767264727741,20-05-11_04-30,,./Data/DropCloseDate_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1018,200,sigmoid,0.09,0.096,1532.0,0.42,0.0123,1.0,7501,1653.575458189047,0.04110999,1.0020767264727741,20-05-11_05-55,,./Data/DropCloseDate_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.084,0.053,1137.0,0.05,0.0112,1.0,30001,1254.835267937057,0.055433594,1.000067575135124,20-05-11_07-21,,./Data/Median_Quant/fire.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,1508,300,sigmoid,0.081,0.054,1143.0,0.02,0.0041,1.0,15001,1254.4840094592946,0.04518966,1.000067575135124,20-05-11_09-03,,./Data/Median_Quant/fire.csv
