iteration,trainRMSE
520,"[1749.5533972146495, 1748.3735362595069, 1748.109581535625, 1751.6841431476955, 1749.8286771940927, 1734.2268887661637, 1727.6222285287522, 1728.611710644761, 1730.4800134682816, 1731.8916012170519]"
530,"[1749.2890567266088, 1747.741251241559, 1748.3162966395473, 1752.6685931719094, 1749.9524453416484, 1734.3805904807405, 1725.9482733072487, 1727.1175171640127, 1729.410363238643, 1731.7221535221317]"
540,"[1749.0620108663213, 1747.7317754915616, 1747.6829010809734, 1752.1636793629364, 1749.6745956489208, 1734.0504392358787, 1725.149261269577, 1726.9837497194699, 1728.9187752793953, 1731.2175178242098]"
550,"[1748.8558435091634, 1747.3562994334432, 1747.4316709420352, 1751.4527659466837, 1749.6816891642254, 1734.725123880583, 1724.2423233801467, 1726.4434805985377, 1728.8557106617786, 1730.849984368651]"
560,"[1748.5949788909084, 1746.908058533741, 1747.5682230699877, 1752.263080899296, 1749.6391993610964, 1733.8797157736576, 1723.436044813701, 1726.361293867288, 1728.6232612565223, 1730.7374737050425]"
570,"[1748.7706982878653, 1746.3907574855177, 1747.0368258989563, 1752.277888898237, 1749.3355790867686, 1733.609698610581, 1722.54151648504, 1726.4926532077561, 1728.6818252236048, 1730.6223703089418]"
580,"[1748.5517750053546, 1746.823058789641, 1747.3674806275121, 1751.0435818742865, 1748.4978039910918, 1734.6261585141158, 1723.9374311048375, 1726.1605156422138, 1728.6557890783647, 1730.914183443535]"
590,"[1748.5415985183638, 1746.373106813827, 1747.0182321620043, 1750.431409074176, 1748.2655557681524, 1733.3174788833994, 1722.2616552421625, 1726.1890785794303, 1727.8281615336064, 1729.9179693467902]"
600,"[1748.6234448226455, 1746.3496275520106, 1747.0046291833678, 1750.2224309352616, 1748.310776431109, 1734.1138325179295, 1723.277351758436, 1726.1236638834437, 1727.9614015858979, 1730.100732722284]"
610,"[1748.8800907899622, 1745.8570255256777, 1746.7510840524435, 1750.6943756593244, 1748.8425156291842, 1732.699215655713, 1721.901200224432, 1726.0766245482553, 1727.9449082662666, 1729.8020675856724]"
620,"[1748.825416526077, 1745.6432797547957, 1746.539418883588, 1750.6552620460404, 1747.900286858563, 1733.6225412579788, 1722.1639441030518, 1725.016378689448, 1727.363333861057, 1729.8145894750292]"
630,"[1748.4037783355539, 1745.8253362565981, 1746.8904474158144, 1750.2730297236437, 1747.8935102600485, 1734.955866243102, 1724.1519928265054, 1725.8612167623573, 1728.6453405470218, 1731.1475891270347]"
640,"[1748.8279456008747, 1745.3456040316762, 1745.7877014307476, 1750.546953940103, 1747.6977289908075, 1733.3528363843332, 1721.0074414279493, 1724.9102906095052, 1727.026088468036, 1729.2230394617536]"
