41.4,5.9,14.6,12.1,8.4,6.5,24.3,8.9,15.5,12.0,
5.9,14.6,12.1,8.4,6.5,24.3,8.9,15.5,12.0,11.4,
14.6,12.1,8.4,6.5,24.3,8.9,15.5,12.0,11.4,8.0,
12.1,8.4,6.5,24.3,8.9,15.5,12.0,11.4,8.0,12.5,
8.4,6.5,24.3,8.9,15.5,12.0,11.4,8.0,12.5,12.9,
6.5,24.3,8.9,15.5,12.0,11.4,8.0,12.5,12.9,9.5,
24.3,8.9,15.5,12.0,11.4,8.0,12.5,12.9,9.5,9.6,
8.9,15.5,12.0,11.4,8.0,12.5,12.9,9.5,9.6,94.6,
15.5,12.0,11.4,8.0,12.5,12.9,9.5,9.6,94.6,90.8,
12.0,11.4,8.0,12.5,12.9,9.5,9.6,94.6,90.8,59.9,
11.4,8.0,12.5,12.9,9.5,9.6,94.6,90.8,59.9,36.1,
8.0,12.5,12.9,9.5,9.6,94.6,90.8,59.9,36.1,25.2,
12.5,12.9,9.5,9.6,94.6,90.8,59.9,36.1,25.2,10.5,
12.9,9.5,9.6,94.6,90.8,59.9,36.1,25.2,10.5,16.7,
9.5,9.6,94.6,90.8,59.9,36.1,25.2,10.5,16.7,38.3,
9.6,94.6,90.8,59.9,36.1,25.2,10.5,16.7,38.3,10.2,
94.6,90.8,59.9,36.1,25.2,10.5,16.7,38.3,10.2,12.4,
90.8,59.9,36.1,25.2,10.5,16.7,38.3,10.2,12.4,19.5,
59.9,36.1,25.2,10.5,16.7,38.3,10.2,12.4,19.5,46.4,
36.1,25.2,10.5,16.7,38.3,10.2,12.4,19.5,46.4,180.9,
25.2,10.5,16.7,38.3,10.2,12.4,19.5,46.4,180.9,6.8,
10.5,16.7,38.3,10.2,12.4,19.5,46.4,180.9,6.8,42.8,
16.7,38.3,10.2,12.4,19.5,46.4,180.9,6.8,42.8,18.8,
38.3,10.2,12.4,19.5,46.4,180.9,6.8,42.8,18.8,41.7,
10.2,12.4,19.5,46.4,180.9,6.8,42.8,18.8,41.7,9.3,
12.4,19.5,46.4,180.9,6.8,42.8,18.8,41.7,9.3,10.6,
19.5,46.4,180.9,6.8,42.8,18.8,41.7,9.3,10.6,28.7,
46.4,180.9,6.8,42.8,18.8,41.7,9.3,10.6,28.7,7.6,
180.9,6.8,42.8,18.8,41.7,9.3,10.6,28.7,7.6,61.9,
6.8,42.8,18.8,41.7,9.3,10.6,28.7,7.6,61.9,36.9,
42.8,18.8,41.7,9.3,10.6,28.7,7.6,61.9,36.9,9.1,
18.8,41.7,9.3,10.6,28.7,7.6,61.9,36.9,9.1,18.6,
41.7,9.3,10.6,28.7,7.6,61.9,36.9,9.1,18.6,16.0,
9.3,10.6,28.7,7.6,61.9,36.9,9.1,18.6,16.0,9.7,
10.6,28.7,7.6,61.9,36.9,9.1,18.6,16.0,9.7,43.4,
28.7,7.6,61.9,36.9,9.1,18.6,16.0,9.7,43.4,27.6,
7.6,61.9,36.9,9.1,18.6,16.0,9.7,43.4,27.6,6.7,
61.9,36.9,9.1,18.6,16.0,9.7,43.4,27.6,6.7,5.9,
36.9,9.1,18.6,16.0,9.7,43.4,27.6,6.7,5.9,34.3,
9.1,18.6,16.0,9.7,43.4,27.6,6.7,5.9,34.3,8.3,
18.6,16.0,9.7,43.4,27.6,6.7,5.9,34.3,8.3,17.8,
16.0,9.7,43.4,27.6,6.7,5.9,34.3,8.3,17.8,18.5,
9.7,43.4,27.6,6.7,5.9,34.3,8.3,17.8,18.5,42.9,
43.4,27.6,6.7,5.9,34.3,8.3,17.8,18.5,42.9,14.6,
27.6,6.7,5.9,34.3,8.3,17.8,18.5,42.9,14.6,10.0,
6.7,5.9,34.3,8.3,17.8,18.5,42.9,14.6,10.0,16.5,
5.9,34.3,8.3,17.8,18.5,42.9,14.6,10.0,16.5,195.4,
34.3,8.3,17.8,18.5,42.9,14.6,10.0,16.5,195.4,15.6,
8.3,17.8,18.5,42.9,14.6,10.0,16.5,195.4,15.6,10.1,
17.8,18.5,42.9,14.6,10.0,16.5,195.4,15.6,10.1,41.4,
18.5,42.9,14.6,10.0,16.5,195.4,15.6,10.1,41.4,69.5,
42.9,14.6,10.0,16.5,195.4,15.6,10.1,41.4,69.5,89.0,
14.6,10.0,16.5,195.4,15.6,10.1,41.4,69.5,89.0,27.1,
10.0,16.5,195.4,15.6,10.1,41.4,69.5,89.0,27.1,10.8,
16.5,195.4,15.6,10.1,41.4,69.5,89.0,27.1,10.8,34.4,
195.4,15.6,10.1,41.4,69.5,89.0,27.1,10.8,34.4,13.5,
15.6,10.1,41.4,69.5,89.0,27.1,10.8,34.4,13.5,4.7,
10.1,41.4,69.5,89.0,27.1,10.8,34.4,13.5,4.7,125.6,
41.4,69.5,89.0,27.1,10.8,34.4,13.5,4.7,125.6,5.6,
69.5,89.0,27.1,10.8,34.4,13.5,4.7,125.6,5.6,102.1,
89.0,27.1,10.8,34.4,13.5,4.7,125.6,5.6,102.1,13.2,
27.1,10.8,34.4,13.5,4.7,125.6,5.6,102.1,13.2,57.1,
10.8,34.4,13.5,4.7,125.6,5.6,102.1,13.2,57.1,13.9,
34.4,13.5,4.7,125.6,5.6,102.1,13.2,57.1,13.9,11.5,
13.5,4.7,125.6,5.6,102.1,13.2,57.1,13.9,11.5,16.3,
4.7,125.6,5.6,102.1,13.2,57.1,13.9,11.5,16.3,46.9,
125.6,5.6,102.1,13.2,57.1,13.9,11.5,16.3,46.9,23.5,
5.6,102.1,13.2,57.1,13.9,11.5,16.3,46.9,23.5,12.6,
102.1,13.2,57.1,13.9,11.5,16.3,46.9,23.5,12.6,12.3,
13.2,57.1,13.9,11.5,16.3,46.9,23.5,12.6,12.3,23.1,
57.1,13.9,11.5,16.3,46.9,23.5,12.6,12.3,23.1,45.3,
13.9,11.5,16.3,46.9,23.5,12.6,12.3,23.1,45.3,28.9,
11.5,16.3,46.9,23.5,12.6,12.3,23.1,45.3,28.9,7.6,
16.3,46.9,23.5,12.6,12.3,23.1,45.3,28.9,7.6,15.7,
46.9,23.5,12.6,12.3,23.1,45.3,28.9,7.6,15.7,7.9,
23.5,12.6,12.3,23.1,45.3,28.9,7.6,15.7,7.9,15.2,
12.6,12.3,23.1,45.3,28.9,7.6,15.7,7.9,15.2,30.6,
12.3,23.1,45.3,28.9,7.6,15.7,7.9,15.2,30.6,58.3,
23.1,45.3,28.9,7.6,15.7,7.9,15.2,30.6,58.3,148.2,
45.3,28.9,7.6,15.7,7.9,15.2,30.6,58.3,148.2,24.3,
28.9,7.6,15.7,7.9,15.2,30.6,58.3,148.2,24.3,16.0,
7.6,15.7,7.9,15.2,30.6,58.3,148.2,24.3,16.0,38.8,
15.7,7.9,15.2,30.6,58.3,148.2,24.3,16.0,38.8,47.0,
7.9,15.2,30.6,58.3,148.2,24.3,16.0,38.8,47.0,70.4,
15.2,30.6,58.3,148.2,24.3,16.0,38.8,47.0,70.4,32.9,
30.6,58.3,148.2,24.3,16.0,38.8,47.0,70.4,32.9,12.1,
58.3,148.2,24.3,16.0,38.8,47.0,70.4,32.9,12.1,9.7,
148.2,24.3,16.0,38.8,47.0,70.4,32.9,12.1,9.7,22.8,
24.3,16.0,38.8,47.0,70.4,32.9,12.1,9.7,22.8,142.8,
16.0,38.8,47.0,70.4,32.9,12.1,9.7,22.8,142.8,19.0,
38.8,47.0,70.4,32.9,12.1,9.7,22.8,142.8,19.0,14.3,
47.0,70.4,32.9,12.1,9.7,22.8,142.8,19.0,14.3,50.0,
70.4,32.9,12.1,9.7,22.8,142.8,19.0,14.3,50.0,32.3,
32.9,12.1,9.7,22.8,142.8,19.0,14.3,50.0,32.3,11.0,
12.1,9.7,22.8,142.8,19.0,14.3,50.0,32.3,11.0,10.3,
9.7,22.8,142.8,19.0,14.3,50.0,32.3,11.0,10.3,5.2,
22.8,142.8,19.0,14.3,50.0,32.3,11.0,10.3,5.2,41.4,
142.8,19.0,14.3,50.0,32.3,11.0,10.3,5.2,41.4,111.7,
19.0,14.3,50.0,32.3,11.0,10.3,5.2,41.4,111.7,10.2,
14.3,50.0,32.3,11.0,10.3,5.2,41.4,111.7,10.2,27.0,
50.0,32.3,11.0,10.3,5.2,41.4,111.7,10.2,27.0,15.3,
